TransactionID,Date,DepartmentID,CategoryID,Vendor,Amount,PaymentMethod,ApprovalStatus
TXN112945,2024-11-15,D08,C08,Freelance Consultant,3255.77,UPI,Approved
TXN113980,2025-01-30,D07,C01,ADP Payroll Services,7578.22,UPI,Approved
TXN118354,2025-09-29,D04,C10,Petty Cash,53136.07,Corporate Card,Approved
TXN103572,2023-07-11,D04,C02,Uber For Business,30767.2,Cheque,Approved
TXN117466,2025-07-25,D08,C02,Indigo Airlines,28990.93,Bank Transfer,Approved
TXN112243,2024-10-30,D06,C10,Courier Services,10441.27,Cheque,Approved
TXN114179,2025-02-26,D01,C09,Dell Technologies,127841.32,Corporate Card,Approved
TXN110882,2024-08-22,D03,C03,Salesforce,12195.12,Bank Transfer,Approved
TXN108399,2024-03-28,D08,C01,ADP Payroll Services,31786.76,UPI,Approved
TXN106735,2024-01-12,D01,C02,Indigo Airlines,189090.45,Cheque,Approved
TXN111040,2024-08-01,D05,C05,Meta Ads,49401.35,Bank Transfer,Approved
TXN102116,2023-04-26,D07,C09,Dell Technologies,21547.95,Cheque,Approved
TXN111025,2024-08-06,D05,C03,Adobe,6762.45,Cheque,Approved
TXN104205,2023-08-25,D05,C04,Office Depot,2862.03,Corporate Card,Approved
TXN116757,2025-06-20,D06,C03,Adobe,200997.34,UPI,Approved
TXN108183,2024-03-22,D05,C03,Slack,72279.48,Corporate Card,Approved
TXN112071,2024-10-31,D04,C05,LinkedIn Marketing,77938.58,Cheque,Approved
TXN115115,2025-03-12,D06,C07,Wework,28786.64,Cheque,Approved
TXN105914,2023-11-21,D05,C09,Dell Technologies,95657.17,Bank Transfer,Approved
TXN118284,2025-09-30,D04,C02,MakeMyTrip Business,8987.7,Cheque,Approved
TXN104605,2023-11-09,D02,C10,Sundry Vendor,30587.17,UPI,Approved
TXN115709,2025-04-25,D07,C09,Dell Technologies,20744.96,UPI,Approved
TXN110591,2024-07-29,D06,C09,Dell Technologies,3344.82,Cheque,Approved
TXN116622,2025-06-27,D04,C05,HubSpot,128598.18,Corporate Card,Approved
TXN107282,2024-03-01,D08,C08,KPMG Consulting,3028.36,Cheque,Approved
TXN111560,2024-09-16,D05,C02,Uber For Business,10779.24,Cheque,Approved
TXN112577,2024-11-13,D03,C05,HubSpot,8531.21,Bank Transfer,Approved
TXN110968,2024-08-27,D04,C06,Internal Training Team,1248.93,UPI,Approved
TXN105703,2023-11-06,D02,C10,Courier Services,2345.67,Corporate Card,Approved
TXN119466,2025-11-03,D04,C08,Freelance Consultant,8495.35,Corporate Card,Approved
TXN105899,2023-11-20,D05,C07,Jio Business,1620.59,Bank Transfer,Approved
TXN109823,2024-06-28,D03,C09,Dell Technologies,27202.93,Corporate Card,Approved
TXN105603,2023-11-07,D01,C06,Coursera Business,12696.44,UPI,Approved
TXN102158,2023-04-14,D08,C04,Office Depot,36963.07,Corporate Card,Approved
TXN115370,2025-04-17,D02,C07,Jio Business,50438.49,Cheque,Approved
TXN119896,2025-12-29,D02,C04,Office Depot,17422.55,Cheque,Pending
TXN103447,2023-07-04,D02,C05,Local Print Media,12191.83,Bank Transfer,Approved
TXN108546,2024-04-01,D01,C08,EY Advisory,192236.08,UPI,Approved
TXN102294,2023-05-25,D02,C04,Staples India,29349.18,Corporate Card,Approved
TXN106557,2023-12-04,D06,C08,Deloitte Advisory,38435.39,Bank Transfer,Approved
TXN118452,2025-09-11,D06,C02,Indigo Airlines,82283.7,Cheque,Approved
TXN114301,2025-02-25,D03,C08,Deloitte Advisory,20610.03,Bank Transfer,Approved
TXN104395,2023-08-22,D07,C08,Freelance Consultant,10134.46,Bank Transfer,Approved
TXN100295,2023-01-27,D05,C04,Amazon Business,352032.08,Bank Transfer,Approved
TXN105753,2023-11-01,D03,C06,Coursera Business,34889.71,Corporate Card,Approved
TXN100626,2023-02-08,D02,C03,Slack,106844.44,Cheque,Approved
TXN109906,2024-06-28,D04,C09,Local It Vendor,34039.53,Corporate Card,Approved
TXN105637,2023-11-28,D01,C10,Courier Services,118088.75,UPI,Approved
TXN103875,2023-07-24,D08,C03,Slack,1011.42,UPI,Approved
TXN109454,2024-05-13,D06,C08,EY Advisory,11408.08,Bank Transfer,Approved
TXN109952,2024-06-10,D05,C05,Local Print Media,11709.36,Cheque,Approved
TXN111717,2024-09-09,D07,C03,Adobe,93711.14,Corporate Card,Approved
TXN101319,2023-03-28,D04,C03,Salesforce,39247.41,Corporate Card,Approved
TXN118513,2025-09-29,D06,C09,HP Enterprise,4702.29,UPI,Approved
TXN117728,2025-08-18,D04,C02,Indigo Airlines,18497.81,Bank Transfer,Approved
TXN120207,2025-12-11,D06,C08,KPMG Consulting,5419.68,Cheque,Approved
TXN107754,2024-02-09,D07,C04,Staples India,137221.34,Bank Transfer,Approved
TXN105349,2023-10-19,D06,C01,ADP Payroll Services,35908.13,Corporate Card,Approved
TXN112731,2024-11-14,D05,C08,Freelance Consultant,10910.79,UPI,Approved
TXN108481,2024-03-22,D08,C10,Courier Services,16919.56,Corporate Card,Approved
TXN107150,2024-01-30,D07,C01,ADP Payroll Services,102778.41,Cheque,Rejected
TXN103118,2023-06-09,D05,C10,Sundry Vendor,43450.87,Corporate Card,Approved
TXN101232,2023-03-29,D03,C02,Indigo Airlines,48151.91,Bank Transfer,Approved
TXN107729,2024-02-12,D06,C09,Lenovo,828.12,Cheque,Approved
TXN118368,2025-09-16,D05,C01,Internal Payroll,24022.02,Bank Transfer,Approved
TXN115118,2025-03-12,D06,C07,Wework,42456.13,Cheque,Approved
TXN103220,2023-06-21,D07,C05,HubSpot,6902.73,Corporate Card,Approved
TXN100745,2023-02-10,D03,C10,Sundry Vendor,6111.89,Cheque,Approved
TXN113950,2025-01-03,D06,C07,State Electricity Board,52784.79,Bank Transfer,Approved
TXN102133,2023-04-18,D08,C01,ADP Payroll Services,45523.93,Corporate Card,Approved
TXN105308,2023-10-20,D05,C04,Amazon Business,51351.82,Cheque,Approved
TXN118778,2025-10-07,D02,C05,Google Ads,85431.76,Corporate Card,Approved
TXN114515,2025-02-04,D06,C03,Microsoft 365,224527.02,Bank Transfer,Approved
TXN103214,2023-06-20,D07,C04,Office Depot,559.04,Cheque,Approved
TXN101777,2023-04-17,D03,C01,Internal Payroll,101334.35,UPI,Approved
TXN116095,2025-05-14,D05,C01,Internal Payroll,30370.39,Bank Transfer,Approved
TXN111170,2024-08-21,D07,C01,ADP Payroll Services,6101.45,UPI,Approved
TXN107534,2024-02-02,D04,C02,Ola Corporate,24400.03,Bank Transfer,Approved
TXN115743,2025-04-23,D08,C04,Amazon Business,104508.28,UPI,Approved
TXN119824,2025-12-18,D01,C05,HubSpot,10300.26,Bank Transfer,Pending
TXN119948,2025-12-03,D03,C01,ADP Payroll Services,95046.33,Bank Transfer,Approved
TXN110348,2024-07-01,D03,C03,Salesforce,11039.44,Corporate Card,Approved
TXN104850,2023-09-21,D06,C04,Staples India,17856.64,Bank Transfer,Approved
TXN118163,2025-09-12,D02,C03,AWS,42893.15,UPI,Approved
TXN101803,2023-04-26,D03,C04,Office Depot,1382.32,Corporate Card,Approved
TXN103140,2023-06-14,D06,C03,Google Workspace,74141.12,Corporate Card,Approved
TXN100557,2023-02-15,D01,C03,Google Workspace,241402.77,UPI,Approved
TXN105932,2023-11-22,D06,C01,ADP Payroll Services,49971.13,Corporate Card,Approved
TXN109539,2024-05-10,D08,C01,ADP Payroll Services,16671.92,Bank Transfer,Approved
TXN112532,2024-11-08,D02,C09,Local It Vendor,3537.92,Corporate Card,Rejected
TXN113477,2024-12-23,D07,C10,Courier Services,28577.16,Bank Transfer,Approved
TXN117095,2025-07-08,D02,C09,HP Enterprise,59917.68,Bank Transfer,Approved
TXN118579,2025-09-10,D07,C09,Dell Technologies,2995.41,Bank Transfer,Approved
TXN117197,2025-07-24,D04,C02,MakeMyTrip Business,11627.43,Corporate Card,Approved
TXN107852,2024-02-28,D08,C08,EY Advisory,19839.34,Corporate Card,Approved
TXN120323,2025-12-04,D08,C04,Office Depot,15646.18,UPI,Approved
TXN108621,2024-04-10,D02,C08,Deloitte Advisory,1659.35,Cheque,Approved
TXN104573,2023-09-11,D02,C05,Meta Ads,6130.93,UPI,Approved
TXN103224,2023-06-12,D07,C05,LinkedIn Marketing,5847.83,UPI,Approved
TXN100541,2023-01-17,D08,C10,Petty Cash,785.36,Corporate Card,Rejected
TXN100483,2023-01-10,D08,C02,Ola Corporate,20090.67,UPI,Approved
TXN101025,2023-02-14,D08,C02,MakeMyTrip Business,28100.01,Cheque,Approved
TXN112587,2024-11-14,D03,C07,Airtel Business,237900.0,Corporate Card,Approved
TXN112462,2024-11-13,D01,C09,HP Enterprise,31090.41,Cheque,Approved
TXN113260,2024-12-31,D05,C03,Adobe,59678.99,Cheque,Approved
TXN110190,2024-06-19,D08,C09,Dell Technologies,8092.67,Bank Transfer,Approved
TXN103656,2023-07-19,D05,C03,Salesforce,26824.34,Cheque,Approved
TXN113241,2024-12-24,D04,C10,Courier Services,81813.17,Corporate Card,Approved
TXN112692,2024-11-01,D05,C03,Google Workspace,7937.04,Corporate Card,Approved
TXN118150,2025-09-22,D02,C01,ADP Payroll Services,36004.28,Corporate Card,Approved
TXN119651,2025-11-07,D07,C02,Uber For Business,34949.54,Bank Transfer,Approved
TXN107431,2024-02-07,D02,C09,Local It Vendor,13593.77,Corporate Card,Approved
TXN111881,2024-10-17,D01,C06,Internal Training Team,8036.95,Bank Transfer,Approved
TXN103233,2023-06-09,D07,C06,Internal Training Team,5168.41,Bank Transfer,Approved
TXN110909,2024-08-29,D03,C07,Jio Business,2847.48,Cheque,Approved
TXN102012,2023-04-28,D06,C02,Ola Corporate,12332.36,Bank Transfer,Approved
TXN110090,2024-06-24,D07,C03,Slack,260695.08,Corporate Card,Approved
TXN118447,2025-09-26,D06,C02,Ola Corporate,73817.25,Corporate Card,Approved
TXN104680,2023-09-20,D04,C02,MakeMyTrip Business,22428.01,UPI,Approved
TXN114548,2025-02-03,D06,C08,Deloitte Advisory,57362.97,Corporate Card,Approved
TXN103850,2023-07-05,D07,C10,Courier Services,89628.24,Corporate Card,Rejected
TXN112635,2024-11-27,D04,C04,Office Depot,45536.16,Cheque,Approved
TXN117945,2025-08-13,D07,C04,Staples India,60350.0,Bank Transfer,Approved
TXN118921,2025-10-20,D04,C05,HubSpot,30813.27,UPI,Approved
TXN109492,2024-05-13,D07,C03,Google Workspace,111675.45,Corporate Card,Approved
TXN103389,2023-07-04,D01,C07,State Electricity Board,39768.27,Cheque,Approved
TXN115515,2025-04-16,D04,C08,EY Advisory,526.03,Bank Transfer,Approved
TXN119552,2025-11-26,D05,C08,EY Advisory,3064.98,Cheque,Approved
TXN104025,2023-08-18,D02,C05,Google Ads,4330.53,Corporate Card,Approved
TXN100463,2023-01-02,D07,C10,Petty Cash,114256.15,UPI,Approved
TXN110342,2024-07-17,D03,C02,MakeMyTrip Business,79588.99,Corporate Card,Approved
TXN116583,2025-06-05,D03,C09,Lenovo,53335.65,Corporate Card,Approved
TXN102633,2023-05-04,D06,C09,Dell Technologies,8679.39,Corporate Card,Approved
TXN118380,2025-09-08,D05,C03,Salesforce,33931.02,UPI,Approved
TXN114087,2025-01-02,D08,C06,Coursera Business,33880.82,Bank Transfer,Approved
TXN113529,2024-12-16,D08,C09,Local It Vendor,27454.22,Cheque,Approved
TXN101672,2023-04-11,D01,C07,Wework,562.56,Corporate Card,Approved
TXN107380,2024-02-02,D02,C02,Unknown Vendor,25656.1,Unknown,Unknown
TXN111568,2024-09-24,D05,C03,Adobe,61042.81,Cheque,Approved
TXN108043,2024-03-08,D03,C03,AWS,254602.68,Bank Transfer,Approved
TXN113259,2024-12-11,D05,C03,Salesforce,21550.62,Cheque,Approved
TXN103864,2023-07-19,D08,C02,Ola Corporate,10212.88,Corporate Card,Approved
TXN102075,2023-04-26,D07,C03,Salesforce,133722.51,Cheque,Approved
TXN103735,2023-07-21,D06,C04,Staples India,10976.95,Cheque,Approved
TXN103221,2023-06-05,D07,C05,Google Ads,30452.71,Cheque,Approved
TXN119937,2025-12-11,D02,C09,Dell Technologies,170992.59,Cheque,Approved
TXN118267,2025-09-24,D03,C09,Dell Technologies,57639.16,UPI,Approved
TXN115549,2025-04-18,D05,C05,HubSpot,23134.2,UPI,Approved
TXN111824,2024-09-24,D08,C09,Local It Vendor,67881.18,Corporate Card,Approved
TXN112023,2024-10-22,D03,C07,State Electricity Board,8675.61,Cheque,Approved
TXN107384,2024-02-12,D02,C02,Ola Corporate,13715.32,Bank Transfer,Approved
TXN105030,2023-10-10,D01,C01,ADP Payroll Services,145629.16,Cheque,Approved
TXN104194,2023-08-09,D05,C03,Salesforce,84448.12,Corporate Card,Approved
TXN120037,2025-12-31,D04,C05,HubSpot,46042.63,Bank Transfer,Approved
TXN118481,2025-09-05,D06,C06,Udemy Business,7734.55,Bank Transfer,Approved
TXN104411,2023-08-11,D08,C01,ADP Payroll Services,366465.22,UPI,Approved
TXN117381,2025-07-02,D06,C09,Lenovo,24175.9,Corporate Card,Approved
TXN113977,2025-01-31,D07,C01,ADP Payroll Services,147800.23,Bank Transfer,Approved
TXN110362,2024-07-18,D03,C05,Google Ads,38990.6,Bank Transfer,Approved
TXN113098,2024-12-05,D02,C10,Sundry Vendor,128743.99,Corporate Card,Approved
TXN103606,2023-07-13,D04,C05,HubSpot,5668.85,Bank Transfer,Approved
TXN107256,2024-01-19,D08,C05,LinkedIn Marketing,65930.11,Cheque,Approved
TXN118049,2025-08-27,D08,C08,KPMG Consulting,75134.07,Bank Transfer,Approved
TXN112145,2024-10-16,D05,C05,Google Ads,57445.58,Bank Transfer,Approved
TXN105838,2023-11-28,D04,C09,Local It Vendor,13652.82,Cheque,Approved
TXN117366,2025-07-11,D06,C06,Coursera Business,101700.62,Bank Transfer,Approved
TXN114904,2025-03-31,D03,C08,Freelance Consultant,2924.82,Corporate Card,Approved
TXN100048,2023-01-26,D01,C06,NIIT,1416.47,Corporate Card,Approved
TXN100003,2023-01-31,D01,C01,ADP Payroll Services,81859.89,UPI,Approved
TXN116486,2025-06-16,D02,C07,Airtel Business,48688.71,Cheque,Approved
TXN110384,2024-07-12,D03,C08,EY Advisory,61705.78,Cheque,Approved
TXN120122,2025-12-18,D05,C05,Meta Ads,4827.41,Bank Transfer,Approved
TXN116636,2025-06-13,D04,C08,EY Advisory,23371.26,UPI,Approved
TXN119477,2025-11-21,D04,C09,Local It Vendor,60131.22,Corporate Card,Approved
TXN100111,2023-01-13,D02,C05,HubSpot,16837.8,Bank Transfer,Approved
TXN107227,2024-01-25,D08,C01,Internal Payroll,60794.62,Cheque,Approved
TXN119984,2025-12-25,D03,C06,Coursera Business,3690.08,Bank Transfer,Rejected
TXN110589,2024-07-26,D06,C09,HP Enterprise,5693.93,Bank Transfer,Approved
TXN112693,2024-11-18,D05,C03,Adobe,113122.75,UPI,Approved
TXN117985,2025-08-18,D07,C08,KPMG Consulting,43364.5,Cheque,Approved
TXN114819,2025-03-11,D02,C07,State Electricity Board,98119.34,UPI,Approved
TXN102926,2023-06-19,D02,C10,Courier Services,43895.72,UPI,Approved
TXN102379,2023-05-25,D03,C03,Microsoft 365,6448.34,Corporate Card,Approved
TXN109488,2024-05-23,D07,C03,Microsoft 365,131038.52,Corporate Card,Approved
TXN115637,2025-04-30,D06,C09,Lenovo,33826.0,UPI,Approved
TXN107269,2024-01-10,D08,C06,NIIT,931.94,UPI,Approved
TXN111736,2024-09-12,D07,C06,Coursera Business,57950.52,Bank Transfer,Approved
TXN100461,2023-01-17,D07,C09,Dell Technologies,1457.69,Bank Transfer,Approved
TXN117554,2025-08-18,D01,C06,NIIT,13688.48,Bank Transfer,Approved
TXN108199,2024-03-19,D05,C05,Meta Ads,14228.8,Bank Transfer,Approved
TXN115905,2025-05-23,D02,C06,Udemy Business,20215.84,Cheque,Approved
TXN120109,2025-12-31,D05,C03,Slack,65343.77,UPI,Approved
TXN109865,2024-06-28,D04,C04,Staples India,192772.0,UPI,Approved
TXN108856,2024-04-10,D06,C02,Indigo Airlines,13600.14,UPI,Approved
TXN103360,2023-07-21,D01,C03,Slack,451503.59,UPI,Approved
TXN107109,2024-01-16,D06,C05,HubSpot,15704.51,Cheque,Approved
TXN103982,2023-08-22,D01,C10,Petty Cash,64671.83,UPI,Approved
TXN117897,2025-08-27,D06,C08,EY Advisory,6348.33,UPI,Approved
TXN112460,2024-11-22,D01,C09,HP Enterprise,13925.45,UPI,Approved
TXN112099,2024-10-31,D04,C09,Dell Technologies,7577.0,Corporate Card,Approved
TXN118265,2025-09-30,D03,C09,Dell Technologies,42203.72,Bank Transfer,Approved
TXN113685,2025-01-10,D03,C01,Internal Payroll,339195.66,UPI,Approved
TXN107837,2024-02-05,D08,C06,Internal Training Team,23266.96,Cheque,Approved
TXN102521,2023-05-15,D05,C03,Microsoft 365,3700.54,Corporate Card,Approved
TXN118870,2025-10-31,D03,C08,Freelance Consultant,15785.89,Cheque,Approved
TXN110062,2024-06-25,D06,C08,Deloitte Advisory,61634.77,UPI,Approved
TXN116664,2025-06-04,D05,C01,Internal Payroll,41863.76,UPI,Approved
TXN114632,2025-02-20,D08,C01,Internal Payroll,399776.79,UPI,Approved
TXN113651,2025-01-14,D02,C07,State Electricity Board,26998.86,Corporate Card,Approved
TXN110461,2024-07-31,D04,C09,Local It Vendor,3404.72,UPI,Approved
TXN102929,2023-06-07,D03,C01,ADP Payroll Services,1062.55,Cheque,Approved
TXN101236,2023-03-29,D03,C03,Adobe,98390.22,UPI,Approved
TXN117831,2025-08-20,D05,C09,Lenovo,13246.57,Corporate Card,Approved
TXN112944,2024-11-18,D08,C08,Freelance Consultant,16269.47,Corporate Card,Approved
TXN104991,2023-09-20,D08,C05,HubSpot,13060.13,UPI,Approved
TXN109047,2024-05-16,D01,C02,MakeMyTrip Business,27195.53,Bank Transfer,Approved
TXN103279,2023-06-06,D08,C01,Internal Payroll,232018.08,Cheque,Approved
TXN109579,2024-05-22,D08,C05,LinkedIn Marketing,22467.46,Cheque,Approved
TXN109609,2024-05-07,D08,C10,Petty Cash,22355.11,Corporate Card,Approved
TXN115873,2025-05-01,D02,C03,Adobe,84577.47,Cheque,Approved
TXN102338,2023-05-30,D02,C08,EY Advisory,64493.06,Corporate Card,Approved
TXN114092,2025-01-29,D08,C06,Udemy Business,29673.63,Bank Transfer,Approved
TXN104538,2023-09-08,D01,C10,Petty Cash,2681.74,Corporate Card,Approved
TXN112117,2024-10-30,D05,C01,Internal Payroll,90631.04,Cheque,Approved
TXN106944,2024-01-01,D04,C01,Internal Payroll,112282.01,Corporate Card,Approved
TXN105788,2023-11-16,D04,C02,Ola Corporate,12562.63,Bank Transfer,Approved
TXN115630,2025-04-04,D06,C07,Wework,71721.05,UPI,Approved
TXN106483,2023-12-04,D05,C08,Deloitte Advisory,138706.69,Bank Transfer,Approved
TXN111556,2024-09-25,D05,C02,Indigo Airlines,44989.83,UPI,Approved
TXN109836,2024-06-13,D04,C01,Internal Payroll,59277.57,Bank Transfer,Approved
TXN111002,2024-08-12,D04,C10,Sundry Vendor,15310.73,Corporate Card,Approved
TXN106363,2023-12-15,D04,C01,ADP Payroll Services,475991.29,UPI,Approved
TXN118206,2025-09-23,D02,C10,Petty Cash,2664.79,Cheque,Approved
TXN105446,2023-10-12,D07,C04,Office Depot,8198.42,Bank Transfer,Approved
TXN102717,2023-05-04,D08,C01,Internal Payroll,129768.59,UPI,Approved
TXN114841,2025-03-14,D02,C10,Sundry Vendor,32111.8,Corporate Card,Approved
TXN108539,2024-04-23,D01,C07,State Electricity Board,9596.22,UPI,Approved
TXN107362,2024-02-19,D01,C10,Sundry Vendor,154301.51,Bank Transfer,Approved
TXN118225,2025-09-29,D03,C03,AWS,220138.0,Corporate Card,Approved
TXN106515,2023-12-14,D06,C02,Ola Corporate,50966.55,Corporate Card,Approved
TXN117659,2025-08-05,D03,C02,Ola Corporate,48253.85,Bank Transfer,Approved
TXN105484,2023-10-27,D07,C09,Dell Technologies,4460.44,Bank Transfer,Approved
TXN110455,2024-07-23,D04,C08,KPMG Consulting,16951.51,Corporate Card,Approved
TXN118492,2025-09-30,D06,C07,Wework,113724.03,Bank Transfer,Approved
TXN102032,2023-04-03,D06,C04,Staples India,61459.16,Corporate Card,Approved
TXN119351,2025-11-13,D03,C02,MakeMyTrip Business,10780.35,UPI,Approved
TXN101839,2023-04-25,D03,C09,Dell Technologies,5533.44,Cheque,Approved
TXN109368,2024-05-14,D05,C05,Meta Ads,27111.37,Cheque,Approved
TXN107997,2024-03-25,D02,C07,Jio Business,134678.86,Cheque,Approved
TXN117991,2025-08-01,D07,C09,Local It Vendor,4095.09,Corporate Card,Approved
TXN119010,2025-10-14,D05,C08,EY Advisory,118889.26,UPI,Approved
TXN114068,2025-01-20,D08,C04,Staples India,15067.89,Corporate Card,Approved
TXN109548,2024-05-20,D08,C02,Indigo Airlines,7833.52,Corporate Card,Approved
TXN106657,2023-12-18,D08,C03,Zoom,36160.95,Cheque,Approved
TXN113180,2024-12-26,D04,C03,Slack,24522.92,UPI,Approved
TXN118743,2025-10-27,D02,C01,ADP Payroll Services,32554.71,UPI,Approved
TXN111298,2024-09-06,D01,C03,Adobe,14746.4,Corporate Card,Approved
TXN114557,2025-02-07,D06,C10,Sundry Vendor,7534.03,Bank Transfer,Approved
TXN118830,2025-10-16,D03,C03,Microsoft 365,34781.26,Corporate Card,Rejected
TXN116233,2025-05-26,D06,C09,Dell Technologies,8322.02,UPI,Approved
TXN102852,2023-06-21,D01,C09,HP Enterprise,22187.78,Cheque,Pending
TXN114572,2025-02-24,D07,C03,Zoom,6030.67,Cheque,Approved
TXN103563,2023-07-13,D04,C01,ADP Payroll Services,105381.87,UPI,Approved
TXN108530,2024-04-23,D01,C06,Udemy Business,34965.31,Cheque,Approved
TXN102780,2023-05-11,D08,C08,Freelance Consultant,3960.41,Bank Transfer,Approved
TXN103249,2023-06-07,D07,C08,KPMG Consulting,48957.0,UPI,Approved
TXN113419,2024-12-03,D07,C04,Office Depot,21216.23,Bank Transfer,Approved
TXN101148,2023-03-16,D02,C01,Internal Payroll,51639.22,UPI,Approved
TXN105516,2023-10-06,D08,C03,Slack,1821.13,Bank Transfer,Approved
TXN113967,2025-01-20,D06,C09,Local It Vendor,3411.37,Bank Transfer,Approved
TXN104427,2023-08-18,D08,C02,Uber For Business,25934.58,Bank Transfer,Approved
TXN104589,2023-09-15,D02,C07,Jio Business,17460.39,Corporate Card,Approved
