MonthYear,Year,Month,Segment,Revenue,COGS
Sep-2023,2023,9,Enterprise SaaS,4423633.11,1169413.65
Sep-2023,2023,9,SMB Subscriptions,2105269.12,987893.18
Sep-2023,2023,9,Professional Services,1112547.76,731727.53
Sep-2023,2023,9,Marketplace Fees,486673.52,270904.79
Oct-2023,2023,10,Enterprise SaaS,3978554.43,1295710.17
Oct-2023,2023,10,SMB Subscriptions,1623277.58,737907.69
Oct-2023,2023,10,Professional Services,1258168.59,790416.34
Oct-2023,2023,10,Marketplace Fees,674368.53,406803.23
Nov-2023,2023,11,Enterprise SaaS,4221966.03,1171283.17
Nov-2023,2023,11,SMB Subscriptions,1770156.96,760171.1
Nov-2023,2023,11,Professional Services,1316431.75,888364.74
Nov-2023,2023,11,Marketplace Fees,668661.04,355935.28
Dec-2023,2023,12,Enterprise SaaS,4872388.07,1589040.88
Dec-2023,2023,12,SMB Subscriptions,2008287.81,932962.08
Dec-2023,2023,12,Professional Services,1533454.56,1017949.08
Dec-2023,2023,12,Marketplace Fees,709280.38,410350.25
Jan-2024,2024,1,Enterprise SaaS,4724949.24,1711834.9
Jan-2024,2024,1,SMB Subscriptions,2167528.28,1016041.48
Jan-2024,2024,1,Professional Services,1474457.02,957694.59
Jan-2024,2024,1,Marketplace Fees,664343.52,377839.32
Feb-2024,2024,2,Enterprise SaaS,4343260.65,1629261.63
Feb-2024,2024,2,SMB Subscriptions,2216526.57,983393.51
Feb-2024,2024,2,Professional Services,1351900.42,957834.25
Feb-2024,2024,2,Marketplace Fees,700647.3,381645.74
Mar-2024,2024,3,Enterprise SaaS,5836839.38,2024719.62
Mar-2024,2024,3,SMB Subscriptions,2633929.46,1162940.03
Mar-2024,2024,3,Professional Services,1567257.63,1088033.36
Mar-2024,2024,3,Marketplace Fees,983769.5,518986.09
Apr-2024,2024,4,Enterprise SaaS,4695836.31,1268603.48
Apr-2024,2024,4,SMB Subscriptions,2094217.41,892860.14
Apr-2024,2024,4,Professional Services,1296907.0,887819.6
Apr-2024,2024,4,Marketplace Fees,710815.03,426208.45
May-2024,2024,5,Enterprise SaaS,4939174.94,1629136.19
May-2024,2024,5,SMB Subscriptions,2306162.65,1077729.09
May-2024,2024,5,Professional Services,1446447.18,1001194.11
May-2024,2024,5,Marketplace Fees,707289.84,371896.15
Jun-2024,2024,6,Enterprise SaaS,4241258.39,1412443.93
Jun-2024,2024,6,SMB Subscriptions,1730027.8,866150.85
Jun-2024,2024,6,Professional Services,1320603.45,901937.09
Jun-2024,2024,6,Marketplace Fees,741007.87,396240.38
Jul-2024,2024,7,Enterprise SaaS,4016162.76,1284785.3
Jul-2024,2024,7,SMB Subscriptions,1906175.54,799962.49
Jul-2024,2024,7,Professional Services,1400111.95,1024701.03
Jul-2024,2024,7,Marketplace Fees,750970.44,391311.85
Aug-2024,2024,8,Enterprise SaaS,4634155.92,1489263.01
Aug-2024,2024,8,SMB Subscriptions,1766625.38,797646.07
Aug-2024,2024,8,Professional Services,1297076.95,861742.1
Aug-2024,2024,8,Marketplace Fees,792359.7,438033.83
Sep-2024,2024,9,Enterprise SaaS,5033949.78,1730148.7
Sep-2024,2024,9,SMB Subscriptions,1932254.98,746951.47
Sep-2024,2024,9,Professional Services,1532057.91,1035787.46
Sep-2024,2024,9,Marketplace Fees,753865.11,360283.21
Oct-2024,2024,10,Enterprise SaaS,5619545.34,1846260.23
Oct-2024,2024,10,SMB Subscriptions,1959072.32,878500.44
Oct-2024,2024,10,Professional Services,1373175.84,972776.71
Oct-2024,2024,10,Marketplace Fees,851184.99,454761.85
Nov-2024,2024,11,Enterprise SaaS,4794520.77,1594814.18
Nov-2024,2024,11,SMB Subscriptions,2126182.33,987783.32
Nov-2024,2024,11,Professional Services,1351149.58,835532.89
Nov-2024,2024,11,Marketplace Fees,711043.02,438248.1
Dec-2024,2024,12,Enterprise SaaS,6258510.22,1793108.61
Dec-2024,2024,12,SMB Subscriptions,2580231.58,1285816.54
Dec-2024,2024,12,Professional Services,1680725.34,1168543.33
Dec-2024,2024,12,Marketplace Fees,1018855.44,586201.82
Jan-2025,2025,1,Enterprise SaaS,5817315.73,1757178.96
Jan-2025,2025,1,SMB Subscriptions,2280048.94,1066718.58
Jan-2025,2025,1,Professional Services,1688569.51,1310529.49
Jan-2025,2025,1,Marketplace Fees,980317.8,568919.14
Feb-2025,2025,2,Enterprise SaaS,5732216.2,2066919.02
Feb-2025,2025,2,SMB Subscriptions,2706189.28,1217743.21
Feb-2025,2025,2,Professional Services,1659926.56,1100894.14
Feb-2025,2025,2,Marketplace Fees,961075.52,560846.43
Mar-2025,2025,3,Enterprise SaaS,6706622.44,1892098.99
Mar-2025,2025,3,SMB Subscriptions,2834404.3,1159250.49
Mar-2025,2025,3,Professional Services,1990686.97,1378987.04
Mar-2025,2025,3,Marketplace Fees,1119642.28,620965.76
Apr-2025,2025,4,Enterprise SaaS,6100499.31,2039824.92
Apr-2025,2025,4,SMB Subscriptions,2615780.27,1142767.81
Apr-2025,2025,4,Professional Services,1587791.99,1166537.48
Apr-2025,2025,4,Marketplace Fees,917839.38,475209.16
May-2025,2025,5,Enterprise SaaS,5799834.08,2246490.06
May-2025,2025,5,SMB Subscriptions,2671193.28,1170140.61
May-2025,2025,5,Professional Services,1712655.39,1168693.95
May-2025,2025,5,Marketplace Fees,747372.4,398039.1
Jun-2025,2025,6,Enterprise SaaS,5050531.52,1726925.59
Jun-2025,2025,6,SMB Subscriptions,2510423.19,1085358.29
Jun-2025,2025,6,Professional Services,1494531.83,1054964.57
Jun-2025,2025,6,Marketplace Fees,732716.49,391961.73
Jul-2025,2025,7,Enterprise SaaS,4320299.98,1311105.11
Jul-2025,2025,7,SMB Subscriptions,2311149.62,944678.72
Jul-2025,2025,7,Professional Services,1584175.41,1023058.52
Jul-2025,2025,7,Marketplace Fees,757572.56,449974.78
Aug-2025,2025,8,Enterprise SaaS,5792248.44,1776449.54
Aug-2025,2025,8,SMB Subscriptions,2646062.84,1072708.73
Aug-2025,2025,8,Professional Services,1479987.47,968345.77
Aug-2025,2025,8,Marketplace Fees,725309.73,392931.44
Sep-2025,2025,9,Enterprise SaaS,6031825.47,2206427.4
Sep-2025,2025,9,SMB Subscriptions,2570192.43,1238696.61
Sep-2025,2025,9,Professional Services,1580571.08,1034024.86
Sep-2025,2025,9,Marketplace Fees,861533.67,482452.16
Oct-2025,2025,10,Enterprise SaaS,5857958.09,1734280.89
Oct-2025,2025,10,SMB Subscriptions,2447792.38,985367.08
Oct-2025,2025,10,Professional Services,1588181.29,1021233.09
Oct-2025,2025,10,Marketplace Fees,921459.46,488225.46
Nov-2025,2025,11,Enterprise SaaS,5181610.89,1469047.51
Nov-2025,2025,11,SMB Subscriptions,2471515.06,940736.48
Nov-2025,2025,11,Professional Services,1665573.01,1133597.57
Nov-2025,2025,11,Marketplace Fees,847646.8,466082.91
Dec-2025,2025,12,Enterprise SaaS,7628271.36,2261911.43
Dec-2025,2025,12,SMB Subscriptions,3006879.38,1275897.77
Dec-2025,2025,12,Professional Services,1889090.54,1313996.12
Dec-2025,2025,12,Marketplace Fees,1007587.51,524306.2
